Disease,Disease ID,Disease Acronym
"Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia",DI-03271,ALS15
"Amyotrophic lateral sclerosis 16, juvenile",DI-03324,ALS16
Amyotrophic lateral sclerosis 17,DI-03488,ALS17
Amyotrophic lateral sclerosis 18,DI-03520,ALS18
Amyotrophic lateral sclerosis 19,DI-03940,ALS19
Amyotrophic lateral sclerosis 2,DI-00109,ALS2
Amyotrophic lateral sclerosis 20,DI-03881,ALS20
Amyotrophic lateral sclerosis 21,DI-02625,ALS21
"Amyotrophic lateral sclerosis 22, with or without frontotemporal dementia",DI-04318,ALS22
Amyotrophic lateral sclerosis 23,DI-05172,ALS23
Amyotrophic lateral sclerosis 24,DI-05206,ALS24
Amyotrophic lateral sclerosis 25,DI-05205,ALS25
Amyotrophic lateral sclerosis 4,DI-00110,ALS4
"Amyotrophic lateral sclerosis 5, juvenile",DI-04565,ALS5
"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia",DI-00111,ALS6
Amyotrophic lateral sclerosis 8,DI-00112,ALS8
Amyotrophic lateral sclerosis 9,DI-00113,ALS9
Amyotrophic lateral sclerosis-parkinsonism/dementia complex 1,DI-02695,ALS-PDC1
Analbuminemia,DI-04235,ANALBA
Anauxetic dysplasia 2,DI-04972,ANXD2
Anauxetic dysplasia 3,DI-05799,ANXD3
Androgen insensitivity syndrome,DI-00116,AIS
"Androgen insensitivity, partial",DI-00117,PAIS
"Anemia without thrombocytopenia, X-linked",DI-03055,XLAWT
"Anemia, congenital dyserythropoietic, 1A",DI-01400,CDAN1A
"Anemia, congenital dyserythropoietic, 1B",DI-04032,CDAN1B
"Anemia, congenital dyserythropoietic, 2",DI-02476,CDAN2
"Anemia, congenital dyserythropoietic, 4",DI-02966,CDAN4
"Anemia, hypochromic microcytic, with iron overload 1",DI-01787,AHMIO1
"Anemia, hypochromic microcytic, with iron overload 2",DI-03728,AHMIO2
"Anemia, non-spherocytic hemolytic, due to G6PD deficiency",DI-01351,NSHA
"Anemia, sideroblastic, 1",DI-00120,SIDBA1
"Anemia, sideroblastic, 2, pyridoxine-refractory",DI-00119,SIDBA2
"Anemia, sideroblastic, 3, pyridoxine-refractory",DI-04678,SIDBA3
"Anemia, sideroblastic, 4",DI-04677,SIDBA4
"Anemia, sideroblastic, spinocerebellar ataxia",DI-02459,ASAT
Anencephaly,DI-05078,ANPH
"Aneurysm, intracranial berry, 12",DI-05735,ANIB12
Angelman syndrome,DI-00121,AS
Angioedema induced by ACE inhibitors,DI-03955,AEACEI
Angiomatoid fibrous histiocytoma,DI-02611,AFH
Anhaptoglobinemia,DI-03152,AHP
"Anhidrosis, isolated, with normal sweat glands",DI-04405,ANHD
Aniridia 1,DI-01184,AN1
Aniridia 2,DI-04858,AN2
Aniridia 3,DI-04859,AN3
Ankyloblepharon-ectodermal defects-cleft lip/palate,DI-00122,AEC
Anorexia nervosa,DI-04568,ANON
Anterior segment anomalies with or without cataract,DI-03442,ASA
Anterior segment dysgenesis 1,DI-00123,ASGD1
Anterior segment dysgenesis 2,DI-01416,ASGD2
Anterior segment dysgenesis 3,DI-01832,ASGD3
Anterior segment dysgenesis 4,DI-01833,ASGD4
Anterior segment dysgenesis 5,DI-02157,ASGD5
Anterior segment dysgenesis 6,DI-04923,ASGD6
Anterior segment dysgenesis 7,DI-04168,ASGD7
Anterior segment dysgenesis 8,DI-04922,ASGD8
Antithrombin III deficiency,DI-00124,AT3D
"Antley-Bixler syndrome, with genital anomalies and disordered steroidogenesis",DI-00046,ABS1
"Antley-Bixler syndrome, without genital anomalies or disordered steroidogenesis",DI-00125,ABS2
"Aortic aneurysm, familial abdominal",DI-00126,AAA
"Aortic aneurysm, familial thoracic 10",DI-04842,AAT10
"Aortic aneurysm, familial thoracic 11",DI-04950,AAT11
"Aortic aneurysm, familial thoracic 4",DI-00128,AAT4
"Aortic aneurysm, familial thoracic 6",DI-00130,AAT6
"Aortic aneurysm, familial thoracic 7",DI-03062,AAT7
"Aortic aneurysm, familial thoracic 8",DI-03894,AAT8
"Aortic aneurysm, familial thoracic 9",DI-04293,AAT9
Aortic valve disease 1,DI-01186,AOVD1
Aortic valve disease 2,DI-03529,AOVD2
Aortic valve disease 3,DI-05612,AOVD3
Apert syndrome,DI-00131,APRS
"Aplasia cutis congenita, non-syndromic",DI-04202,ACC
Aplasia of lacrimal and salivary glands,DI-01199,ALSG
Aplasia or hypoplasia of the breasts and/or nipples 2,DI-04216,BNAH2
Aplastic anemia,DI-02842,AA
Apparent mineralocorticoid excess,DI-01187,AME
Arboleda-Tham syndrome,DI-04351,ARTHS
Argininemia,DI-00132,ARGIN
Argininosuccinic aciduria,DI-00133,ARGINSA
Aromatase deficiency,DI-00134,AROD
Aromatase excess syndrome,DI-01569,AEXS
Aromatic L-amino-acid decarboxylase deficiency,DI-00135,AADCD
"Arrhythmogenic right ventricular dysplasia 11, familial, and mild palmoplantar keratoderma and woolly hair",DI-04742,ARVD11PK
"Arrhythmogenic right ventricular dysplasia, familial, 1",DI-01549,ARVD1
"Arrhythmogenic right ventricular dysplasia, familial, 10",DI-01554,ARVD10
"Arrhythmogenic right ventricular dysplasia, familial, 11",DI-01555,ARVD11
"Arrhythmogenic right ventricular dysplasia, familial, 12",DI-01556,ARVD12
"Arrhythmogenic right ventricular dysplasia, familial, 13",DI-04014,ARVD13
"Arrhythmogenic right ventricular dysplasia, familial, 14",DI-05863,ARVD14
"Arrhythmogenic right ventricular dysplasia, familial, 2",DI-01550,ARVD2
"Arrhythmogenic right ventricular dysplasia, familial, 5",DI-01551,ARVD5
"Arrhythmogenic right ventricular dysplasia, familial, 8",DI-01552,ARVD8
"Arrhythmogenic right ventricular dysplasia, familial, 9",DI-01553,ARVD9
"Arterial calcification of infancy, generalized, 1",DI-01806,GACI1
"Arterial calcification of infancy, generalized, 2",DI-03382,GACI2
Arterial tortuosity syndrome,DI-01190,ATORS
"Arthrogryposis multiplex congenita 4, neurogenic, with agenesis of the corpus callosum",DI-05753,AMC4
Arthrogryposis multiplex congenita 5,DI-05874,AMC5
"Arthrogryposis multiplex congenita, myogenic type",DI-05605,AMCM
"Arthrogryposis multiplex congenita, neurogenic type",DI-05199,AMCN
"Arthrogryposis multiplex congenita, neurogenic, with myelin defect",DI-04998,AMCNMY
"Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development",DI-05453,ACCIID
"Arthrogryposis, distal, 1A",DI-01491,DA1A
"Arthrogryposis, distal, 1B",DI-03302,DA1B
"Arthrogryposis, distal, 2A",DI-01492,DA2A
"Arthrogryposis, distal, 2B1",DI-01493,DA2B1
"Arthrogryposis, distal, 2B2",DI-05569,DA2B2
"Arthrogryposis, distal, 2B3",DI-05570,DA2B3
"Arthrogryposis, distal, 2B4",DI-05559,DA2B4
"Arthrogryposis, distal, 3",DI-04138,DA3
"Arthrogryposis, distal, 5",DI-04009,DA5
"Arthrogryposis, distal, 5D",DI-03688,DA5D
"Arthrogryposis, distal, 7",DI-02392,DA7
"Arthrogryposis, distal, with impaired proprioception and touch",DI-04863,DAIPT
"Arthrogryposis, mental retardation, and seizures",DI-03977,AMRS
"Arthrogryposis, Perthes disease, and upward gaze palsy",DI-04768,APUG
"Arthrogryposis, renal dysfunction and cholestasis syndrome 1",DI-00136,ARCS1
"Arthrogryposis, renal dysfunction and cholestasis syndrome 2",DI-02624,ARCS2
ARTS syndrome,DI-01191,ARTS
Asparagine synthetase deficiency,DI-03985,ASNSD
Aspartylglucosaminuria,DI-00137,AGU
"Asperger syndrome, X-linked, 1",DI-02429,ASPGX1
"Asperger syndrome, X-linked, 2",DI-02430,ASPGX2
"Asplenia, isolated congenital",DI-03692,ICAS
Asthma,DI-02482,ASTHMA
"Asthma, with nasal polyps and aspirin intolerance",DI-02739,ANPAI
Asthma-related traits 1,DI-02869,ASRT1
Asthma-related traits 2,DI-02880,ASRT2
Asthma-related traits 5,DI-02870,ASRT5
Asthma-related traits 7,DI-02871,ASRT7
"Ataxia and polyneuropathy, adult-onset",DI-04887,APAO
Ataxia telangiectasia,DI-00139,AT
Ataxia with isolated vitamin E deficiency,DI-00141,AVED
"Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus",DI-04316,ACPHD
"Ataxia, sensory, 1, autosomal dominant",DI-03449,SNAX1
Ataxia-oculomotor apraxia 3,DI-03724,AOA3
Ataxia-oculomotor apraxia 4,DI-04356,AOA4
Ataxia-oculomotor apraxia syndrome,DI-00138,AOA
Ataxia-pancytopenia syndrome,DI-04781,ATXPC
Ataxia-telangiectasia-like disorder 1,DI-00140,ATLD1
Ataxia-telangiectasia-like disorder 2,DI-04180,ATLD2
Atelosteogenesis 1,DI-00142,AO1
Atelosteogenesis 2,DI-00143,AO2
Atelosteogenesis 3,DI-00144,AO3
Athabaskan brainstem dysgenesis syndrome,DI-01193,ABDS
Atopic hypersensitivity,DI-03286,ATOPY
Atransferrinemia,DI-00145,ATRAF
"Atrial fibrillation, familial, 10",DI-03122,ATFB10
"Atrial fibrillation, familial, 11",DI-03142,ATFB11
"Atrial fibrillation, familial, 12",DI-03143,ATFB12
"Atrial fibrillation, familial, 13",DI-03855,ATFB13
"Atrial fibrillation, familial, 14",DI-03856,ATFB14
"Atrial fibrillation, familial, 15",DI-04082,ATFB15
"Atrial fibrillation, familial, 16",DI-04165,ATFB16
"Atrial fibrillation, familial, 17",DI-04164,ATFB17
"Atrial fibrillation, familial, 18",DI-04898,ATFB18
"Atrial fibrillation, familial, 3",DI-00146,ATFB3
"Atrial fibrillation, familial, 4",DI-00147,ATFB4
"Atrial fibrillation, familial, 6",DI-00148,ATFB6
"Atrial fibrillation, familial, 7",DI-00149,ATFB7
"Atrial fibrillation, familial, 9",DI-03121,ATFB9
Atrial septal defect 2,DI-00150,ASD2
Atrial septal defect 3,DI-00151,ASD3
Atrial septal defect 4,DI-00152,ASD4
Atrial septal defect 5,DI-02497,ASD5
Atrial septal defect 6,DI-02498,ASD6
"Atrial septal defect 7, with or without atrioventricular conduction defects",DI-00153,ASD7
Atrial septal defect 8,DI-03333,ASD8
Atrial septal defect 9,DI-03370,ASD9
Atrial standstill 1,DI-01557,ATRST1
Atrial standstill 2,DI-04075,ATRST2
Atrichia with papular lesions,DI-00154,APL
Atrioventricular septal defect 2,DI-01195,AVSD2
Atrioventricular septal defect 3,DI-03196,AVSD3
Atrioventricular septal defect 4,DI-03332,AVSD4
Atrioventricular septal defect 5,DI-03369,AVSD5
Attention deficit-hyperactivity disorder 7,DI-02574,ADHD7
Au-Kline syndrome,DI-04555,AUKS
Auditory neuropathy and optic atrophy,DI-05116,ANOA
"Auditory neuropathy, autosomal dominant, 1",DI-03423,AUNA1
"Auditory neuropathy, autosomal recessive, 1",DI-02064,AUNB1
"Aural atresia, congenital",DI-03316,CAA
Auriculocondylar syndrome 1,DI-03467,ARCND1
Auriculocondylar syndrome 2,DI-03468,ARCND2
Auriculocondylar syndrome 3,DI-04052,ARCND3
Autism 15,DI-02792,AUTS15
Autism 16,DI-02793,AUTS16
Autism 17,DI-02794,AUTS17
Autism 18,DI-03675,AUTS18
Autism 19,DI-03649,AUTS19
Autism 20,DI-05821,AUTS20
"Autism, X-linked 1",DI-02431,AUTSX1
"Autism, X-linked 2",DI-02432,AUTSX2
"Autism, X-linked 3",DI-02433,AUTSX3
"Autism, X-linked 4",DI-04536,AUTSX4
"Autism, X-linked 5",DI-03140,AUTSX5
"Autism, X-linked 6",DI-03482,AUTSX6
Autoimmune disease 1,DI-02737,AIS1
Autoimmune disease 6,DI-02927,AIS6
"Autoimmune disease, multisystem, infantile-onset, 1",DI-04194,ADMIO1
"Autoimmune disease, multisystem, infantile-onset, 2",DI-04749,ADMIO2
"Autoimmune disease, multisystem, with facial dysmorphism",DI-02639,ADMFD
"Autoimmune interstitial lung, joint, and kidney disease",DI-04454,AILJK
Autoimmune lymphoproliferative syndrome 1A,DI-00155,ALPS1A
Autoimmune lymphoproliferative syndrome 1B,DI-00156,ALPS1B
Autoimmune lymphoproliferative syndrome 2A,DI-00157,ALPS2A
Autoimmune lymphoproliferative syndrome 3,DI-03976,ALPS3
Autoimmune lymphoproliferative syndrome 5,DI-04302,ALPS5
"Autoimmune polyendocrine syndrome 1, with or without reversible metaphyseal dysplasia",DI-01198,APS1
Autoimmune thyroid disease 3,DI-02878,AITD3
Autoinflammation with arthritis and dyskeratosis,DI-04967,AIADK
Autoinflammation with episodic fever and lymphadenopathy,DI-05817,AIEFL
Autoinflammation with infantile enterocolitis,DI-04246,AIFEC
"Autoinflammation, antibody deficiency, and immune dysregulation",DI-03601,APLAID
"Autoinflammation, immune dysregulation, and eosinophilia",DI-05905,AIIDE
"Autoinflammation, panniculitis, and dermatosis syndrome",DI-04791,AIPDS
"Autoinflammatory syndrome, familial, Behcet-like",DI-04635,AISBL
"Avascular necrosis of femoral head, primary, 1",DI-02197,ANFH1
"Avascular necrosis of the femoral head, primary 2",DI-04965,ANFH2
Axenfeld-Rieger syndrome 1,DI-01265,RIEG1
Axenfeld-Rieger syndrome 3,DI-01266,RIEG3
Ayme-Gripp syndrome,DI-04468,AYGRP
B-cell expansion with NFKB and T-cell anergy,DI-04476,BENTA
Bainbridge-Ropers syndrome,DI-03920,BRPS
Baker-Gordon syndrome,DI-05432,BAGOS
Baller-Gerold syndrome,DI-00158,BGS
Bamforth-Lazarus syndrome,DI-01267,BLS
Band heterotopia,DI-04829,BH
Baraitser-Winter syndrome 1,DI-03416,BRWS1
Baraitser-Winter syndrome 2,DI-03417,BRWS2
Barber-Say syndrome,DI-04543,BBRSAY
Bardet-Biedl syndrome,DI-03107,BBS
Bardet-Biedl syndrome 1,DI-00159,BBS1
Bardet-Biedl syndrome 10,DI-00168,BBS10
Bardet-Biedl syndrome 11,DI-00169,BBS11
Bardet-Biedl syndrome 12,DI-01269,BBS12
Bardet-Biedl syndrome 13,DI-03087,BBS13
Bardet-Biedl syndrome 14,DI-02607,BBS14
Bardet-Biedl syndrome 15,DI-02938,BBS15
Bardet-Biedl syndrome 16,DI-04258,BBS16
Bardet-Biedl syndrome 17,DI-04076,BBS17
Bardet-Biedl syndrome 18,DI-04077,BBS18
Bardet-Biedl syndrome 19,DI-04162,BBS19
Bardet-Biedl syndrome 2,DI-00160,BBS2
Bardet-Biedl syndrome 20,DI-04830,BBS20
Bardet-Biedl syndrome 21,DI-04960,BBS21
Bardet-Biedl syndrome 3,DI-00161,BBS3
Bardet-Biedl syndrome 4,DI-00162,BBS4
Bardet-Biedl syndrome 5,DI-00163,BBS5
Bardet-Biedl syndrome 6,DI-00164,BBS6
Bardet-Biedl syndrome 7,DI-00165,BBS7
